Time Step,Queue 0 PRBs,Queue 1 PRBs,Queue 2 PRBs
0,12,0,37
1,6,13,29
2,10,13,25
3,11,12,25
4,10,14,25
5,12,15,21
6,13,16,20
7,13,16,20
8,13,16,19
9,14,16,19
10,14,16,18
11,16,15,18
12,16,16,17
13,17,16,16
14,17,15,16
15,17,16,16
16,17,16,15
17,17,16,16
18,17,16,15
19,17,16,15
20,18,16,15
21,18,15,16
22,18,16,15
23,18,16,15
24,18,15,15
25,18,15,15
26,18,15,15
27,18,15,15
28,19,15,15
29,19,15,15
30,19,15,15
31,19,15,15
32,19,15,15
33,19,15,15
34,19,15,15
35,19,15,15
36,23,13,12
37,26,11,11
38,19,15,15
39,17,13,19
40,19,15,15
41,19,15,15
42,19,15,15
43,17,13,19
44,20,14,15
45,19,14,15
46,19,14,15
47,20,14,15
48,20,14,15
49,17,20,12
50,19,14,15
51,19,14,15
52,19,14,15
53,20,14,15
54,20,14,15
55,20,14,15
56,20,13,15
57,20,14,14
58,21,14,14
59,18,17,14
60,20,14,15
61,20,14,15
62,18,17,13
63,20,14,14
64,20,14,14
65,20,14,14
66,20,15,14
67,21,12,16
68,20,15,14
69,18,13,18
70,20,14,14
71,20,14,14
72,20,14,14
73,23,13,13
74,20,14,14
75,18,18,13
76,17,13,19
77,20,14,14
78,20,14,15
79,27,11,11
80,16,11,21
81,20,14,15
82,20,14,15
83,20,14,15
84,16,21,12
85,20,14,14
86,20,14,14
87,20,14,14
88,16,11,21
89,20,14,14
90,16,11,21
91,20,14,14
92,20,14,15
93,27,11,11
94,22,13,13
95,28,10,10
96,19,10,19
97,20,14,14
98,20,14,14
99,20,14,14
100,20,14,14
101,23,9,17
102,13,10,26
103,20,14,14
104,20,14,14
105,20,14,14
106,20,14,14
107,20,14,14
108,27,11,11
109,20,14,14
110,16,11,21
111,20,14,14
112,20,14,14
113,20,14,14
114,17,12,20
115,24,15,9
116,14,24,10
117,20,14,14
118,22,10,16
119,29,9,10
120,18,13,18
121,20,14,14
122,16,21,11
123,16,11,22
124,17,12,19
125,20,14,14
126,14,17,17
127,17,12,20
128,20,14,14
129,26,11,11
130,31,9,9
131,29,10,9
132,33,8,8
133,20,14,14
134,17,12,20
135,20,14,14
136,20,14,14
137,16,21,11
138,28,10,10
139,20,14,14
140,20,14,14
141,19,11,19
142,14,10,25
143,18,18,13
144,20,14,14
145,26,11,11
146,20,14,14
147,16,11,22
148,20,14,14
149,20,14,14
150,20,14,14
151,15,14,19
152,14,10,24
153,20,14,14
154,20,14,14
155,23,9,16
156,19,10,20
157,18,13,17
158,16,21,11
159,20,14,14
160,20,14,14
161,23,16,9
162,20,14,15
163,20,14,15
164,20,14,15
165,20,14,15
166,23,16,9
167,13,26,9
168,20,14,15
169,16,11,21
170,20,14,15
171,20,10,18
172,20,14,15
173,18,13,18
174,27,11,11
175,16,11,22
176,20,14,15
177,27,11,11
178,20,14,15
179,16,11,21
180,20,14,15
181,18,18,13
182,27,11,11
183,20,14,14
184,20,14,14
185,20,14,14
186,20,14,14
187,20,14,14
188,25,9,14
189,17,12,19
190,20,14,14
191,20,14,14
192,20,14,14
193,20,14,14
194,27,11,11
195,21,14,14
196,25,12,12
197,28,11,9
198,13,20,16
199,18,9,22
200,20,14,14
201,20,14,14
202,24,13,12
203,20,14,14
204,20,14,14
205,20,14,14
206,21,14,14
207,16,22,11
208,21,14,14
209,20,14,14
210,20,14,14
211,20,14,14
212,20,14,14
213,20,14,14
214,27,11,11
215,23,13,13
216,23,13,13
217,13,18,18
218,21,14,14
219,19,16,14
220,20,14,14
221,20,14,14
222,20,14,14
223,17,19,12
224,14,25,10
225,13,25,10
226,10,25,14
227,11,30,8
228,20,14,14
229,20,14,14
230,28,10,10
231,24,12,12
232,29,10,10
233,16,22,11
234,17,12,20
235,26,12,11
236,20,14,14
237,15,20,14
238,23,8,17
239,12,11,26
240,20,14,14
241,20,14,14
242,20,14,14
243,18,17,13
244,20,14,14
245,18,13,17
246,23,13,13
247,27,11,11
248,18,17,13
249,18,16,14
250,9,22,17
251,12,21,15
252,19,11,19
253,33,9,7
254,28,9,11
255,23,14,11
256,26,8,15
257,20,14,14
258,15,11,22
259,25,9,14
260,20,14,14
261,15,12,21
262,19,7,22
263,29,10,9
264,17,21,10
265,19,15,15
266,16,12,20
267,19,15,15
268,12,24,12
269,12,18,18
270,14,22,12
271,2,15,31
272,6,36,6
273,9,30,9
